DarkerBasicConfiguration_5	FAIL	4	CS0234,CS0246
DarkerBasicConfiguration_6	FAIL	5	CS0234,CS0103,CS0246
DarkerBasicConfiguration_7	FAIL	5	CS0234,CS0103,CS0246
DarkerBasicConfiguration_8	FAIL	33	CS1519,CS8124,CS1041,CS1001,CS1003,CS1002
DarkerBasicConfiguration_9	FAIL	7	CS0234,CS0103,CS0246
DarkerConfigurationReference_1	FAIL	2	CS0103,CS0246
DarkerConfigurationReference_2	FAIL	4	CS0234,CS0103,CS0246
DarkerConfigurationReference_3	FAIL	5	CS0103,CS0246
DarkerConfigurationReference_4	FAIL	12	CS0234,CS0246,CS0103
DefaultMessageMappers_1	FAIL	2	CS0103,CS0246
DefaultMessageMappers_10	FAIL	2	CS0103,CS0246
DefaultMessageMappers_11	FAIL	6	CS1002,CS0246
DefaultMessageMappers_12	FAIL	6	CS0246,CS0161
DefaultMessageMappers_13	FAIL	4	CS0103,CS0246
DefaultMessageMappers_2	FAIL	3	CS0103,CS0246
DefaultMessageMappers_3	FAIL	4	CS0103,CS0246
DefaultMessageMappers_4	FAIL	41	CS1519,CS8803,CS1022,CS0116,CS0246,CS8805
DefaultMessageMappers_5	FAIL	2	CS0103,CS0246
DefaultMessageMappers_6	FAIL	2	CS0103,CS0246
DefaultMessageMappers_7	FAIL	4	CS0103,CS0246
DefaultMessageMappers_8	FAIL	4	CS0103,CS0246
DefaultMessageMappers_9	FAIL	2	CS0103,CS0246
DispatcherConfigurationReference_1	FAIL	13	CS1002,CS1519,CS1031,CS8124,CS1026,CS8635
DispatcherConfigurationReference_2	FAIL	27	CS1002,CS1519,CS1001,CS8635,CS1022,CS1520
DispatcherConfigurationReference_3	FAIL	23	CS1002,CS1519,CS1001,CS8635,CS1022,CS1520
DispatcherConfigurationReference_4	FAIL	18	CS1002,CS1519,CS1001,CS8635,CS1022,CS1520
DispatcherConfigurationReference_5	FAIL	22	CS1002,CS1519,CS1001,CS1003,CS8635,CS1026
DispatchingARequest_1	FAIL	3	CS0103,CS0246
DispatchingARequest_2	FAIL	14	CS0246,CS0103
DispatchingARequest_3	FAIL	8	CS0246,CS0103,CS0161
DispatchingARequest_4	FAIL	6	CS0246,CS0103
DispatchingARequest_5	FAIL	2	CS0103,CS0246
DispatchingARequest_6	FAIL	2	CS0103,CS0246
DispatchingARequest_7	FAIL	2	CS0103,CS0246
DispatchingARequest_8	FAIL	22	CS0246,CS0103,CS0117
DistributedLock_1	FAIL	4	CS0246
DistributedLock_2	FAIL	3	CS0246,CS0103
DynamicMessageDeserialization_1	FAIL	6	CS0246,CS0103
DynamicMessageDeserialization_2	FAIL	6	CS1525,CS0246,CS0103
DynamicMessageDeserialization_3	FAIL	3	CS1002,CS0140
DynamicMessageDeserialization_4	FAIL	3	CS1002,CS0140
DynamicMessageDeserialization_5	FAIL	8	CS1002,CS0246
DynamicMessageDeserialization_6	FAIL	2	CS0246
DynamicMessageDeserialization_7	FAIL	6	CS0103,CS0246
DynamicMessageDeserialization_8	FAIL	1	CS0246
DynamicMessageDeserialization_9	FAIL	5	CS1525,CS0246
DynamoDbDistributedLock_1	FAIL	3	CS0246,CS0103
DynamoDbDistributedLock_2	FAIL	3	CS0246,CS0103
DynamoInbox_1	FAIL	18	CS1002,CS1519,CS1001,CS1003,CS8635,CS1513
DynamoOutbox_1	FAIL	2	CS0103
DynamoOutbox_2	FAIL	14	CS0246,CS0103,CS0117
DynamoOutbox_3	FAIL	9	CS0246,CS0103
DynamoOutbox_4	FAIL	1	CS0103
EFCoreOutbox_1	FAIL	6	CS8635,CS1003,CS1002,CS1513,CS0246
EFCoreOutbox_2	FAIL	17	CS0246,CS0103,CS0117
EFCoreQueryIntegration_1	FAIL	15	CS8635,CS0246,CS0115,CS0111,CS0103
EFCoreQueryIntegration_2	FAIL	7	CS8635,CS0234,CS0246,CS0115,CS0103
EFCoreQueryIntegration_3	FAIL	6	CS8635,CS0246,CS0115,CS0103
EFCoreQueryIntegration_4	FAIL	4	CS0234,CS0103,CS0246
EFCoreQueryIntegration_5	FAIL	12	CS0234,CS0246,CS0103
ErrorHandlingOptions_1	FAIL	9	CS0246,CS0103
ErrorHandlingOptions_2	FAIL	9	CS0246,CS0103
ErrorHandlingOptions_3	FAIL	9	CS0246,CS0103
ErrorHandlingOptions_4	FAIL	4	CS0246
ErrorHandlingOptions_5	FAIL	10	CS0246,CS0103
ErrorHandlingOptions_6	FAIL	10	CS0246,CS0103
FAQ_1	FAIL	1	CS0246
FAQ_10	FAIL	3	CS0246,CS0103
FAQ_11	FAIL	2	CS0103,CS0246
FAQ_12	FAIL	3	CS0246,CS0103
FAQ_13	FAIL	1	CS0103
FAQ_14	FAIL	4	CS0246
FAQ_15	FAIL	4	CS0246
FAQ_16	FAIL	18	CS0116,CS1026,CS1022,CS8803,CS8937,CS0246
FAQ_17	FAIL	12	CS1002,CS1513,CS0103,CS0246
FAQ_18	FAIL	4	CS0103
FAQ_19	FAIL	5	CS0103
FAQ_2	FAIL	7	CS0246,CS0103
FAQ_20	FAIL	2	CS1002,CS0246
FAQ_3	FAIL	7	CS8635,CS1003,CS0103
FAQ_4	FAIL	3	CS1002,CS0246,CS0103
FAQ_5	FAIL	3	CS8635,CS1003,CS0103
FAQ_6	FAIL	5	CS1002,CS0246
FAQ_7	FAIL	8	CS0246,CS0161
FAQ_8	FAIL	14	CS0246,CS0111,CS0103,CS0117
FAQ_9	FAIL	4	CS0103,CS0246
FeatureSwitches_1	FAIL	7	CS0246,CS0103
FeatureSwitches_2	FAIL	10	CS0246,CS0103,CS4032
FeatureSwitches_3	FAIL	7	CS0246,CS0103
FeatureSwitches_4	FAIL	9	CS0246,CS0103
FeatureSwitches_5	FAIL	5	CS0103,CS0246
FeatureSwitches_6	FAIL	12	CS0246,CS0103
FeatureSwitches_7	FAIL	3	CS0246,CS0103
FirestoreDistributedLock_1	FAIL	4	CS0246,CS0103
FirestoreDistributedLock_2	FAIL	5	CS1525,CS0246,CS0103
FirestoreInbox_1	CLEAN	0	
FirestoreOutbox_1	CLEAN	0	
GcpPubSubConfiguration_1	FAIL	3	CS0103,CS0246
HandlerFailure_1	FAIL	7	CS0246,CS0103
HandlerFailure_10	FAIL	11	CS0246,CS0103
HandlerFailure_11	FAIL	13	CS0246,CS0103
HandlerFailure_2	FAIL	9	CS0246,CS0103
HandlerFailure_3	FAIL	8	CS0246
HandlerFailure_4	FAIL	7	CS0246
HandlerFailure_5	FAIL	9	CS0246,CS0103
HandlerFailure_6	FAIL	8	CS0246,CS0103
HandlerFailure_7	FAIL	9	CS0246
HandlerFailure_8	FAIL	9	CS0246,CS0103
